Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,White,21048923,7637346,5993921,1643424,13411577,2702220,351813,1019340,848527,170813,290916,167462,123454,2011229,321870,279040,637492,2980135,2622251,195270,2587588,2573325,1831010,620287,4225,117803,14262,18461335,69591129
1989:Q3,Black,1010669,449361,338491,110870,561308,93538,5343,8460,7694,766,311,201,110,17098,15445,30043,24196,316289,38230,12356,183426,182737,103500,78235,134,868,689,827243,11845844
1989:Q3,Hispanic,624978,330306,263047,67259,294672,84593,806,4691,4618,73,23,22,1,14711,8735,9380,11585,94830,56152,9166,201786,201394,140736,46590,130,13940,391,423193,7359603
1989:Q3,Other,908194,372336,297710,74627,535858,76118,4680,13988,13085,904,2616,1177,1439,47406,14142,10368,11918,91075,252989,10556,179974,179341,135909,39095,44,4293,633,728220,4223525
1989:Q4,White,21407145,7732365,6073319,1659046,13674780,2742933,365385,1026472,850324,176148,309921,183990,125931,2067180,328984,289042,661782,3049573,2634896,198612,2640501,2625796,1866108,638342,4086,117260,14705,18766644,69605334
1989:Q4,Black,1040154,458890,341535,117355,581265,92001,5204,8697,7802,895,823,532,291,18420,17280,31167,27047,324869,42912,12844,192637,191829,108716,81758,128,1227,808,847517,11811814
1989:Q4,Hispanic,647367,340445,270990,69455,306922,85195,929,4657,4558,99,164,163,2,15320,9809,9716,12405,97777,61374,9575,208745,208305,146090,48893,129,13193,440,438622,7536400
1989:Q4,Other,950859,388200,308473,79727,562659,79919,5719,18114,16112,2002,3595,1979,1616,51184,15557,11115,13961,94848,257644,11004,185660,184965,139668,40293,47,4957,695,765199,4308690
1990:Q1,White,21459369,7772124,6081571,1690553,13687245,2743411,390628,1013224,843811,169413,343671,214876,128795,1950606,331778,299026,659644,3108351,2641737,205170,2689338,2675028,1923567,625411,5068,120983,14310,18770031,69665581
1990:Q1,Black,1058811,462171,342456,119715,596640,90124,5055,8957,7859,1097,2227,1740,486,18661,18745,32294,27051,332277,47459,13790,196179,195368,115608,77817,160,1784,811,862631,11791502
1990:Q1,Hispanic,660853,346470,273432,73038,314383,84122,1067,4565,4447,118,441,438,3,14857,10713,9993,12502,99784,66255,10084,214794,214336,151844,49841,165,12486,458,446059,7669355
1990:Q1,Other,979345,399202,315525,83677,580143,82813,6909,22519,18989,3530,4905,3139,1766,49387,16758,11828,15003,97530,260944,11546,190076,189358,144380,39251,66,5661,718,789269,4377331
1990:Q2,White,21735420,7844985,6141124,1703861,13890435,2747580,375219,1042184,868171,174013,350973,220074,130899,2017721,336158,318869,664617,3172627,2658360,206128,2743544,2729326,1972737,630372,4115,122102,14218,18991876,69769208
1990:Q2,Black,1083616,468776,342786,125990,614841,88338,4926,9386,8131,1255,2266,1593,674,20131,20349,34751,27859,340464,52439,13931,201904,201047,120356,78353,126,2212,856,881713,11784030
1990:Q2,Hispanic,672867,351010,276774,74236,321856,82558,1152,4482,4335,147,574,570,3,15339,11628,10579,12701,101359,71213,10270,218024,217540,155004,50815,136,11585,484,454842,7761191
1990:Q2,Other,1015797,412778,324479,88299,603019,85485,7658,27769,22852,4917,6074,4097,1978,53247,17986,12969,16321,100158,263537,11815,194140,193389,147820,39173,57,6339,751,821657,4430408
1990:Q3,White,21629345,7925157,6200862,1724295,13704188,2762273,396701,1072446,900068,172379,361883,228698,133185,1684657,339138,321666,647528,3229355,2678741,209799,2788565,2774478,2013920,640925,1780,117854,14087,18840779,69913556
1990:Q3,Black,1099022,473205,348497,124708,625817,86698,4776,9914,8459,1455,2518,1646,872,18942,21841,34927,26221,347867,57652,14459,208839,207943,125401,80104,52,2387,896,890183,11788526
1990:Q3,Hispanic,681396,356942,280532,76410,324454,80755,1280,4349,4175,173,751,747,4,13429,12447,10474,12260,102134,76041,10533,220599,220092,157686,51950,60,10396,507,460797,7814628
1990:Q3,Other,1033982,423576,332835,90741,610406,88050,8824,33764,27214,6550,7405,5229,2176,43965,19104,13269,16721,101884,265262,12157,197350,196570,150260,39323,26,6962,781,836631,4468877
1990:Q4,White,22074097,7926417,6184509,1741909,14147679,2803695,402195,1133135,933597,199538,384899,249812,135087,1884439,342474,331867,675627,3290058,2685959,213331,2834867,2820471,2046337,650493,1981,121660,14396,19239230,70095963
1990:Q4,Black,1122966,475108,349257,125851,647858,85347,4636,10319,8805,1514,3650,2582,1069,21409,23371,36105,29681,355867,62505,14967,216760,215764,131348,81418,57,2940,996,906205,11804113
1990:Q4,Hispanic,687944,357415,279699,77715,330530,79205,1382,4191,3960,230,1062,1058,5,14527,13221,10591,12916,102498,80199,10737,223665,223122,160421,53176,67,9458,543,464279,7832389
1990:Q4,Other,1062283,426498,332931,93567,635785,90781,9792,39720,31907,7814,9124,6716,2408,51836,20185,13875,18972,103478,265568,12453,199510,198682,151705,39305,31,7641,828,862773,4493698
1991:Q1,White,22517794,7950859,6190657,1760202,14566935,2816192,447655,1091700,882345,209355,391939,256275,135664,2183732,346014,336831,718768,3351122,2668374,214609,2854444,2840243,2078648,634808,3448,123339,14201,19663350,70313769
1991:Q1,Black,1148282,479242,347361,131881,669041,83750,4441,10262,8589,1673,3785,2541,1244,24561,24930,36591,34951,364030,66587,15153,217992,216964,136676,76792,101,3395,1028,930290,11829917
1991:Q1,Hispanic,688353,354174,275922,78251,334180,76515,1532,4019,3745,274,1263,1258,5,16072,13939,10463,13902,102377,83318,10779,224019,223461,161813,53135,118,8395,559,464334,7817195
1991:Q1,Other,1090048,430913,333463,97450,659135,92764,11240,42533,32990,9543,10829,8077,2751,63049,21216,14186,21853,104718,264133,12615,199223,198373,152555,37472,61,8285,850,890825,4505829
1991:Q2,White,22613758,8010725,6238748,1771977,14603033,2772729,425862,1119833,902132,217700,392779,255748,137031,2167741,351448,345498,730002,3416061,2664694,216386,2907007,2893076,2131805,635441,1041,124789,13931,19706751,70564313
1991:Q2,Black,1171063,484954,351420,133534,686109,81658,4340,10715,8861,1854,3381,1939,1442,25654,26660,37580,36641,372768,71301,15411,223292,222243,142131,76243,29,3841,1049,947770,11865064
1991:Q2,Hispanic,686083,353091,274830,78261,332992,72074,1586,3814,3495,319,1409,1405,5,15765,14654,10425,13998,101917,86550,10799,223417,222848,162447,53071,36,7295,569,462666,7771769
1991:Q2,Other,1109109,437738,337812,99926,671371,93557,11826,48543,37099,11444,12466,9437,3029,63656,22267,14628,23369,105856,262440,12761,200610,199744,154268,36551,19,8905,866,908499,4506228
1991:Q3,White,22938821,8089160,6297739,1791421,14849661,2759438,420883,1132530,931578,200952,403654,266564,137090,2315039,353515,352951,761458,3480528,2651413,218253,2949478,2935814,2162369,638304,855,134287,13664,19989342,70844934
1991:Q3,Black,1196865,489309,357542,131767,707556,79868,4215,11448,9207,2240,3833,2216,1618,27867,28121,38414,40734,381560,75815,15681,223773,222702,141370,76642,23,4666,1071,973092,11908676
1991:Q3,Hispanic,683705,351338,272373,78965,332367,68180,1654,3539,3205,334,1686,1681,5,16276,15188,10301,14550,101022,89192,10779,216405,215828,157276,52031,29,6492,577,467300,7698832
1991:Q3,Other,1134118,444058,342736,101322,690060,94597,12581,55744,41809,13935,14563,11147,3416,69571,23109,14967,25698,106620,259735,12875,199475,198596,153488,35523,17,9568,879,934642,4495853
1991:Q4,White,23549968,8158888,6356321,1802567,15391080,2773284,422708,1135852,939842,196011,423544,288985,134560,2723517,357574,361324,800807,3546538,2624375,221556,3023051,3009573,2213429,650016,1644,144484,13477,20526918,71152972
1991:Q4,Black,1227952,494696,361475,133222,733256,78339,4081,11974,9415,2559,5316,3576,1739,31780,29766,39379,45837,390638,79991,16157,230655,229550,145111,78868,44,5527,1105,997298,11959881
1991:Q4,Hispanic,679834,347051,268742,78309,332783,64784,1724,3282,2918,364,2104,2100,3,18048,15718,10172,15232,99794,91142,10784,213285,212699,155285,51650,57,5708,585,466549,7601106
1991:Q4,Other,1163315,447397,344048,103349,715919,95840,13386,61721,45446,16276,17209,13188,4021,84018,23972,15305,28302,107164,255985,13015,200239,199344,154055,35047,36,10206,894,963077,4475664
1992:Q1,White,23559618,8234150,6422603,1811547,15325468,2645456,443121,1159930,957508,202422,408986,276609,132378,2670728,361964,366615,799352,3637094,2607249,224973,3055507,3042154,2261958,635957,1926,142313,13353,20504111,71485767
1992:Q1,Black,1252178,502125,364366,137760,750052,75524,3914,12524,9696,2828,3653,1779,1873,32782,31455,39939,46193,402726,84694,16649,226322,225174,143860,75449,51,5814,1148,1025855,12017803
1992:Q1,Hispanic,665324,339459,262534,76925,325865,57830,1812,3012,2602,410,2168,2166,2,17331,16185,9903,14826,98951,93092,10755,203217,202623,148812,49277,66,4467,594,462107,7481313
1992:Q1,Other,1174059,451016,345044,105972,723043,94560,14404,68248,49612,18636,19401,14810,4591,82844,24783,15456,29143,109004,252071,13128,197982,197072,153646,32669,46,10711,910,976077,4446617
1992:Q2,White,23681567,8304355,6477409,1826946,15377212,2624749,423793,1136852,934326,202526,412869,282772,130096,2676318,364092,376907,812356,3722345,2598030,228902,3105463,3092196,2303038,637832,2461,148866,13267,20576104,71840656
1992:Q2,Black,1281528,509981,367944,142037,771547,73694,3817,12857,9690,3166,3647,1638,2009,34197,32972,41171,48297,413816,89864,17214,226618,225422,143153,75692,65,6512,1196,1054909,12081567
1992:Q2,Hispanic,657063,332289,256377,75912,324774,53475,1835,2818,2368,449,2448,2447,1,16870,16513,9776,14733,100616,94978,10712,194360,193759,142554,47548,84,3573,601,462703,7342176
1992:Q2,Other,1192914,454650,346323,108326,738264,94829,14836,72341,51144,21197,22077,16917,5160,83457,25436,15798,30529,117757,247974,13230,196001,195076,152498,31260,64,11254,925,996913,4409673
1992:Q3,White,24070738,8429694,6580996,1848698,15641044,2624665,414459,1144980,956381,188598,412018,284234,127784,2801442,370755,385844,841583,3807620,2604619,233059,3166950,3153726,2354466,647240,1467,150554,13223,20903788,72214981
1992:Q3,Black,1308476,511460,372928,138532,797016,72048,3703,13652,10019,3633,3117,968,2149,36407,34889,42227,52392,424975,95793,17813,233986,232734,148525,77185,37,6987,1251,1074491,12150298
1992:Q3,Hispanic,658386,333822,257942,75880,324565,49595,1864,2504,2036,468,2700,2700,0,16940,16908,9576,14977,101859,96996,10645,190890,190282,140682,47019,50,2531,608,467497,7186414
1992:Q3,Other,1221514,460736,352121,108615,760778,95242,15355,79419,55467,23951,24907,19184,5723,87787,26213,16036,32506,126026,243973,13313,195400,194459,152206,30489,41,11723,941,1026114,4365788
1992:Q4,White,24700177,8542301,6669674,1872627,16157876,2652520,398732,1148734,955673,193061,417675,291826,125849,3155371,376085,402724,867939,3887055,2614399,236641,3229212,3215966,2395319,665869,2100,152678,13246,21470965,72605829
1992:Q4,Black,1326468,516818,380145,136672,809650,72644,4177,13837,9876,3961,3351,1273,2079,38698,35683,43749,52844,434831,91723,18112,239788,238527,152593,79237,74,6623,1261,1086679,12222904
1992:Q4,Hispanic,661033,329982,254015,75967,331051,49557,2203,3027,2370,658,2262,2232,30,18312,18669,9858,19618,106221,90461,10862,190255,189602,139817,47407,72,2307,653,470778,7017104
1992:Q4,Other,1242346,456570,348368,108202,785776,99308,15151,78404,52769,25635,23067,17575,5492,99963,26904,18123,33692,144111,233694,13359,197321,196370,153174,32256,65,10875,950,1045025,4316070
1993:Q1,White,25011573,8584986,6707327,1877659,16426587,2582562,406123,1167420,936534,230886,437264,313162,124102,3281354,381213,413032,915334,3933203,2669485,239597,3246705,3233407,2414202,654538,3511,161156,13298,21764868,73009285
1993:Q1,Black,1342377,522562,377203,145359,819815,72375,4623,13605,9602,4003,4886,2875,2012,39574,36465,44388,55777,440732,89072,18318,234746,233472,152553,74207,165,6547,1274,1107632,12297422
1993:Q1,Hispanic,651647,317967,244498,73469,333680,47287,2558,3619,2697,922,2032,1973,58,18534,20288,9892,24288,109197,84971,11014,185257,184561,135718,46423,120,2299,696,466391,6838724
1993:Q1,Other,1250305,451205,341077,110128,799100,101678,15264,75912,48973,26939,21642,16398,5245,104472,27536,19828,35584,159482,224343,13361,195479,194519,152231,32094,120,10074,960,1054826,4262215
1993:Q2,White,25330524,8715810,6805885,1909925,16614714,2574227,396231,1151494,899277,252218,455595,333302,122293,3343620,387401,423930,936977,3980579,2722539,242120,3305732,3292376,2461245,664780,3207,163144,13356,22024792,73421184
1993:Q2,Black,1355138,528447,385093,143354,826692,72660,5097,13345,9198,4147,6159,4216,1943,40056,37336,45095,55636,446717,86136,18454,239940,238651,158310,73998,183,6160,1288,1115199,12371673
1993:Q2,Hispanic,656210,320557,246737,73820,335653,46340,2859,4151,2983,1169,1835,1750,85,18426,21811,9917,27986,111814,79395,11118,185035,184300,135518,46599,110,2074,735,471175,6656107
1993:Q2,Other,1259778,451719,342372,109347,808059,104870,15117,72525,44316,28209,20442,15439,5003,106760,28168,21479,36375,174333,214657,13333,196875,195906,153274,33284,117,9230,969,1062902,4206069
1993:Q3,White,25799873,8856070,6912361,1943709,16943803,2578249,392294,1145295,864460,280835,454815,334372,120443,3512887,394161,438176,963752,4030787,2787731,245656,3378701,3365284,2502821,684512,3731,174221,13417,22421171,73837360
1993:Q3,Black,1367789,533721,393780,139941,834068,73045,5568,12970,8811,4159,5672,3800,1871,41181,38250,46230,56077,452925,83422,18728,249162,247860,165592,75821,256,6191,1302,1118627,12443476
1993:Q3,Hispanic,656748,318800,244600,74200,337947,45636,3151,4635,3197,1438,1512,1401,111,18741,23236,10020,31443,114193,74141,11239,186481,185709,136131,47306,128,2144,772,470267,6474086
1993:Q3,Other,1273735,453495,345279,108217,820239,108152,15051,69207,40120,29088,19108,14340,4768,112146,28791,23209,37294,188823,205121,13336,198606,197629,153989,35029,147,8464,977,1075129,4149477
1993:Q4,White,26306337,8999485,7021528,1977957,17306852,2567025,400638,1199147,869385,329762,460524,341927,118597,3682050,401165,445048,981337,4077540,2844840,247538,3460229,3446747,2540878,719307,3778,182784,13482,22846108,74253648
1993:Q4,Black,1378672,540365,398448,141918,838307,73278,6035,12487,8719,3768,5771,3972,1799,42287,39175,46362,55422,458552,80184,18755,259069,257753,169865,81489,302,6097,1316,1119603,12510653
1993:Q4,Hispanic,654295,315500,241418,74082,338795,44646,3452,5135,3385,1750,1287,1152,135,19019,24576,9900,34412,116282,68800,11285,185636,184829,134696,47874,130,2130,806,468659,6297493
1993:Q4,Other,1285437,453640,345349,108291,831798,111166,15159,67035,38259,28776,18004,13466,4538,117332,29408,24557,37828,202710,195319,13279,200578,199592,154237,37499,159,7696,986,1084860,4094284
1994:Q1,White,26464753,9103139,7106362,1996777,17361615,2541478,413204,1270126,921724,348402,466458,349554,116904,3530058,405187,450851,987899,4126723,2919073,250557,3491921,3478360,2568049,719519,5224,185568,13562,22972832,74665881
1994:Q1,Black,1385249,545121,397597,147524,840129,73362,6504,12798,8955,3842,5875,4146,1729,41425,39836,46327,53475,464240,77354,18933,260525,259194,174393,78592,486,5722,1332,1124724,12571022
1994:Q1,Hispanic,645578,307470,234832,72638,338108,43456,3750,5607,3596,2011,1097,939,158,18022,25783,9758,36927,118336,64001,11370,184282,183442,133552,47767,179,1944,840,461296,6131160
1994:Q1,Other,1290046,452798,343579,109219,837248,114001,15326,68523,38807,29716,17007,12704,4303,112995,29918,25823,37951,216457,185977,13270,200101,199105,153961,37998,237,6909,995,1089945,4042335
1994:Q2,White,26713339,9235701,7206717,2028985,17477637,2497503,406612,1352399,985001,367398,465063,350000,115063,3448732,409900,452144,1015455,4174089,3002888,252852,3567629,3553979,2610363,747830,6895,188891,13649,23145710,75069894
1994:Q2,Black,1394950,551980,403140,148840,842970,73256,6989,13123,9225,3898,5425,3771,1654,40965,40534,45668,53921,469426,74668,18995,268102,266754,178020,82633,736,5365,1348,1126848,12622405
1994:Q2,Hispanic,645403,307378,234889,72489,338025,42051,4000,6098,3817,2281,887,707,180,17370,26979,9515,39691,120390,59605,11440,183084,182210,132124,48065,237,1785,874,462319,5979921
1994:Q2,Other,1300745,455017,345718,109300,845728,116686,15257,70415,39781,30634,16004,11915,4089,110941,30472,26876,38841,230004,176983,13250,202154,201148,154609,40052,338,6149,1006,1098591,3995476
